Search by Niche: 

Customer Need,Top Search Term 1,Top Search Term 2,Top Search Term 3,Search Volume (Past 360 days),Search Volume Growth (Past 180 days),Search Volume (Past 90 days),Search Volume Growth (Past 90 days),Units Sold Lower Bound (Past 360 days),Units Sold Upper Bound (Past 360 days),Range of Average Units Sold Lower Bound (Past 360 days),Range of Average Units Sold Upper Bound (Past 360 days),# of Top Clicked Products,Average Price (USD),Minimum Price (Past 360 days) (USD),Maximum Price (Past 360 days) (USD),Return Rate (Past 360 days)
"melatonin","melatonin","melatonina","carlyle melatonin","6387388","0.1313","1753391","0.071","1000000","1000000","30000","40000","45","11.97","2.73","26.79","0.0006"
"ashwagandha drink","nello super calm","nello super calm cortisol drink","nello","3585505","0.0144","843751","-0.1228","150000","200000","40000","50000","6","34.81","19.2","43.7","0.0005"
"sleep aid","sleep aid","sleep","sleeping pills","6478303","0.07","1712124","0.0461","500000","600000","25000","30000","28","16.36","6.06","34.45","0.0007"
"melatonin gummies","melatonin gummies","gomitas para dormir","melatonin gummies 10mg","3373719","-0.0389","898178","0.1892","600000","800000","25000","30000","27","14.37","7.35","28.86","0.0005"
"melatonin 10mg","melatonin 10mg","natrol melatonin 10mg","melatonina 10mg para adultos","1860740","-0.0142","487484","0.1174","400000","500000","20000","25000","26","12.33","2.73","26.79","0.0006"
"kids melatonin gummy","kids melatonin gummy","melatonin gummies kids","kids melatonin","2033721","-0.056","529274","0.1547","300000","400000","10000","12500","20","11.19","6.94","17.26","0.0005"
"sleep gummies","olly sleep gummies","sleep gummies","sleep gummies for adults","1497415","0.0584","440944","0.3401","200000","250000","8000","10000","27","17.14","7.67","33.21","0.0005"
"lemon balm","lemon balm","elite lemon balm","elire","1173054","0.6727","509410","1.2664","60000","80000","2500","3000","15","17.51","5.31","40.57","0.0004"
"melatonin 5mg","melatonin 5mg","melatonin 5 mg","5mg melatonin","958876","-0.008","256721","0.1627","200000","250000","10000","12500","22","11.75","6.9","22.28","0.0005"
"moonbrew","moonbrew","moonbrew nighttime sleep hot cocoa","moon brew","731005","1.7141","290187","0.1892","40000","50000","6000","8000","4","42.03","27.16","47.57","0.0003"
"melatonin 3mg","melatonin 3mg","nature made melatonin","melatonin 3 mg","658022","-0.0255","170478","0.1049","150000","200000","10000","12500","16","11.75","4.51","37","0.0005"
"melatonin 20mg","melatonin 20mg","melatonina 20 mg para adultos","melatonin 20 mg","622920","-0.0654","170406","0.3055","100000","125000","6000","8000","18","16.28","9.11","36.7","0.0006"
"tryptophan","tryptophan","l tryptophan","tryptophan supplement","412400","0.0368","103370","-0.03","50000","60000","2500","3000","20","20.58","10","67.66","0.0006"
"melatonin 1 mg","melatonin 1 mg","melatonin 1mg","1mg melatonin","450570","-0.0143","111417","-0.0075","100000","125000","8000","10000","11","9.63","4.69","18.48","0.0005"
"sleep patches","sleep patches","wellamoon sleeping patches for adults","sleep patches for adults extra strength insomnia","873267","0.7257","273853","-0.0186","60000","80000","6000","8000","7","19.35","11.39","25.05","0.0008"
"soursop oil","soursop oil organic for cancer","organic soursop","soursop graviola liquid drop","514926","0.473","151987","-0.0178","30000","40000","1000","1250","32","22.19","9.94","63.92","0.0007"
"extended release melatonin","extended release melatonin","time release melatonin","melatonin extended release","355454","0.1512","96690","0.0337","50000","60000","1500","2000","25","12.38","5.96","31.67","0.0005"
"toddler sleep aid","toddler sleep aid","kids sleep aid","sleep aid for kids","354998","0.1422","107637","0.3182","25000","30000","500","750","47","15.66","6.41","35.61","0.0011"
"ryze cocoa sleep","beam dream sleep powder","beam dream","beam dream powder for sleep","355400","0.2175","99726","0.0452","10000","12500","500","750","15","45.18","13.34","74.56","0.0005"
"apigenin","apigenin","apigenin supplement for sleep","apigenin supplement","280759","-0.0485","69414","0.0286","40000","50000","2500","3000","13","23.58","14.95","33.85","0.0005"
"liquid melatonin","liquid melatonin","melatonin liquid","melatonin drops","301603","0.0654","80766","0.0795","40000","50000","2000","2500","25","13.79","5.92","35.14","0.0006"
"remfresh","sleep 3","sleep 3 natures bounty","natures bounty sleep 3","339945","0.1778","88847","-0.0649","60000","80000","6000","8000","9","19.94","8.3","37","0.0006"
"melatonin ashwagandha","zzzquil pure zzzs melatonin gummies","zzzquil gummies","pure zzzs melatonin gummies","258944","-0.21","56316","-0.0286","40000","50000","4000","5000","10","19.2","7.79","31.67","0.0006"
"melatonin free sleep aid","calms forte","melatonin free sleep aid","boiron sleep calm","267546","-0.0698","71370","0.2397","40000","50000","1250","1500","25","20.1","9.35","39.43","0.0006"
"melatonin dissolvable tablets","natrol","natrol melatonin","melatonin dissolvable tablets","309897","-0.0032","78722","0.036","40000","50000","1500","2000","34","11.7","5.92","29.09","0.0006"
"lavender capsules","calm aid","silexan","calm aid lavender pills","194770","-0.1784","44265","0.0156","25000","30000","3000","4000","8","24.77","10.07","37.15","0.0005"
"thc gummies","thc gummies","thc gummies edibles with thc","delta 9 gummies thc for adults","942250","0.1024","253298","0.0519","10000","12500","250","500","40","26.92","10.34","66.12","0.0004"
"melatonin magnesium","goli sleep gummies","calm sleep gummies","goli sleep","282939","0.4138","94439","0.3248","30000","40000","2000","2500","11","19.05","9.02","37.81","0.0006"
"8 sheep organics","juniors bedtime lotion by 8 sheep kids","8 sheep organics magnesium cream","8 sheep organics","459082","0.9315","192123","0.7408","10000","12500","250","500","27","18.63","7.93","35.18","0.0027"
"kids sleep gummies","kids sleep gummies","sleep gummies kids","olly kids sleep gummies","223220","-0.09","58542","0.2243","30000","40000","2500","3000","13","15.74","6.94","35.61","0.0004"
"melatonin 5mg fast dissolve","natrol melatonin 5mg","melatonin 5mg fast dissolve","chewable melatonin 5mg","199872","0.0113","50645","0.0158","50000","60000","6000","8000","8","12.11","8.33","24.05","0.0006"
"baby sleep","baby sleep","baby sleep aid","infant sleep aid","402822","0.0591","111728","0.1703","10000","12500","250","500","27","19.62","6.41","47.86","0.0147"
"baby bedtime drops","mommys bliss","mommy bliss","baby bedtime drops","201606","0.0804","57054","0.1974","15000","20000","500","750","28","13.14","6.58","25.39","0.0007"
"liquid melatonin kids","liquid melatonin kids","kids melatonin liquid","melatonin liquid for kids","159376","0.0378","45100","0.2503","25000","30000","2000","2500","17","14.73","5.92","31.13","0.0006"
"baby melatonin infant 0-24 months","baby melatonin infant 0-24 months","baby melatonin","melatonin for babies","161468","-0.0228","41654","0.0918","8000","10000","500","750","15","12.87","6.41","31.13","0.0006"
"melatonin gummies 5mg","melatonin gummies 5mg","melatonin 5mg gummies","natrol melatonin gummies","189910","-0.0133","51528","0.204","30000","40000","2500","3000","12","10.91","7.42","15.56","0.0005"
"melatonin gummies 1mg","natrol melatonin 1 mg","melatonin gummies 1mg","natrol kids melatonin gummies","174602","-0.1005","41861","0.0254","40000","50000","2500","3000","11","10.8","5.92","16.67","0.0005"
"sleep powder","calm sleep","sleep powder","calm sleep magnesium powder","169599","0.0654","49797","0.3212","15000","20000","2000","2500","9","27.52","17.02","37.81","0.0007"
"sleep drink","sleep drink","dream water","som sleep","190149","0.1081","50946","0.0395","15000","20000","250","500","33","30.08","4.38","71.9","0.0006"
"restore patches for anxiety","nerve tonic","hylands nerve tonic","anxiety patches","190110","0.0464","50176","0.0667","15000","20000","750","1000","18","19.14","8.18","43.1","0.0012"
"melatonin spray","melatonin spray","melatonin spray for sleep","source naturals melatonin","168155","-0.0783","41457","0.0576","15000","20000","2000","2500","12","13.46","8.27","20.19","0.006"
"melatonina 60 mg para dormir","melatonina 60 mg para dormir","melatonin 60mg","high dose melatonin","161142","0.1745","49098","0.294","15000","20000","500","750","25","23.5","8.66","41.3","0.0005"
"gaba l-theanine supplement","gaba l-theanine supplement","gaba l theanine","l theanine gaba","149232","0.0324","42045","0.2453","10000","12500","500","750","17","28.76","11.76","89.28","0.0005"
"toddler melatonin 2 year old","melatonin for toddlers age 2","toddler melatonin 2 year old","melatonin for toddlers","113851","0.0458","31853","0.2088","8000","10000","250","500","26","12.35","6.82","26.22","0.0005"
"caffeine patches","the good patch","caffeine patches","caffeine patch","130152","0.1016","36540","0.1532","6000","8000","100","250","34","28.23","9.81","63.85","0.0009"
"lemon balm tincture","lemon balm extract","lemon balm tincture","lemon balm drops","112271","0.473","44315","0.9644","10000","12500","500","750","15","18.61","10.48","40.57","0.0004"
"hiya kids bedtime essentials","melatonin free sleep aid kids","hiya kids bedtime essentials","non melatonin sleep aid kids","132751","-0.2154","34466","0.442","8000","10000","500","750","20","16.72","8.41","36.77","0.0004"
"sleeping","sleeping","better sleep","sleep accessories","537150","0.0883","133085","-0.0938","10000","12500","100","250","66","32.16","4.91","314.47","0.0142"
"melatonin gummies 20mg","melatonin gummies 20mg","melatonin 20mg gummies","melatonin 20mg gummies for adults","99979","-0.0701","25651","0.1388","15000","20000","1000","1250","12","14.63","9.11","20.81","0.0005"
"sleep patches for kids","sleep patches for kids","sleepy stickers for kids","sleep stickers for kids","108736","3.3909","20019","-0.708","3000","4000","250","500","10","14.56","10.03","20.76","0.0072"
"low dose melatonin","low dose melatonin","melatonin 300 mcg","melatonin 0.5mg","74581","0.0259","20342","0.1673","10000","12500","500","750","20","14.97","5.31","29.64","0.0005"
"melatonin with l-theanine","natrol sleep calm gummies","melatonin with l-theanine","melatonin l theanine","78099","0.0575","24683","0.5966","10000","12500","500","750","41","13.62","7.67","24.64","0.0006"
"naturesours organic soursop extract","soursop multivitamin drops","naturesours organic soursop extract","nature sours soursop drops organic","91537","5.251","30957","-0.3545","5000","6000","500","750","9","24.78","17.21","38.1","0.0002"
"sugar free melatonin gummies","sugar free melatonin gummies","melatonin gummies sugar free","sugar free melatonin","79649","0.1355","23540","0.2513","10000","12500","500","750","14","13.92","7.7","22.25","0.0005"
"l theanine for kids","l theanine for kids","l theanine kids","l-theanine for kids","82862","0.2847","26170","0.2813","5000","6000","250","500","12","19.33","10.21","24.47","0.0002"
"sleep gummies no melatonin","mary ruth sleep","sleep gummies no melatonin","melatonin free sleep gummies","67979","0.0994","21699","0.5609","4000","5000","100","250","31","28.06","11.02","41.07","0.0006"
"melatonin 10mg fast dissolve","melatonin 10mg fast dissolve","chewable melatonin 10mg","10 mg melatonin quick dissolve","57093","-0.1341","13475","0.0349","12500","15000","1250","1500","12","13.19","8.44","26.79","0.0007"
"organic melatonin","organic melatonin","now melatonin","melatonin organic","57357","0.1146","16338","0.1757","6000","8000","100","250","35","16.47","4.51","49.38","0.0005"
