Niche Name: melatonin gummies
Niche Details - Products Tab
Last updated on 3/29/2025

Product Name,ASIN,Brand,Category,Launch Date,Niche Click Count (Past 360 days),Click Share (Past 360 days),Average Selling Price (Past 360 days) (USD),Total Ratings,Average Customer Rating,Average BSR,Average # of Sellers and Vendors (Past 360 days)
"Amazon Basics Melatonin 5mg 120 Gummies (2 per Serving) Strawberry (Previously Solimo)","B07BBFFTKH","Amazon Basics","Vitamins, Minerals & Supplements/Sleep Supplements","2018-05-17","239077","0.1834","7.69","35672","4.59","3","5"
"Natrol Melatonin Gummies Sleep Support for Adults Melatonin 10 mg 140 Strawberry-Flavored Up to 70 Days","B08666GMWG","Natrol","Vitamins, Minerals & Supplements/Sleep Supplements","2020-04-13","159975","0.1227","15.56","44779","4.59","1","15"
"Vitafusion Max Strength Melatonin Gummy Supplements Strawberry Flavored 10 mg Melatonin Sleep Supplements Americas Number 1 Gummy Vitamin Brand 50 Day Supply 100 Count","B07PF1SN5B","Vitafusion","Vitamins, Minerals & Supplements/Sleep Supplements","2019-03-01","165571","0.127","10.67","42348","4.5","6","67"
"Natrol Melatonin Gummies Sleep Support for Adults 10 mg Melatonin Supplement for Sleeping 90 Strawberry-Flavored Gummies Up to a 45 Day Supply","B079TD7HG2","Natrol","Vitamins, Minerals & Supplements/Sleep Supplements","2018-03-01","140103","0.1074","10.77","44779","4.59","1","82"
"Melatonin 20mg Gummies for Adults (120 Count) - Maximum Strength Sleep Aid with 10mg of Melatonin Per Gummy - Gluten-Free Non-GMO Vegetarian Great Tasting Mixed Berry Flavor - 60 Servings","B0B8CJ2F6P","Just Nutrients","Vitamins, Minerals & Supplements/Sleep Supplements","2022-08-02","60482","0.0464","17.04","2975","4.5","28","2"
"OLLY Sleep Gummy 3 mg Melatonin L-Theanine Chamomile and Lemon Balm Extracts Blackberry Flavor 30 Day Supply - 60 Count","B07NZKSFKM","OLLY","Vitamins, Minerals & Supplements/Sleep Supplements","2019-04-07","56175","0.043","13.33","43826","4.4","2","35"
"OLLY Sleep Gummy 3mg Melatonin L-Theanine Chamomile Lemon Balm Sleep Aid BlackBerry 90 Count","B0CRMWK9PH","OLLY","Vitamins, Minerals & Supplements/Sleep Supplements","2024-01-06","33288","0.0255","18.64","43826","4.4","2","19"
"Natrol Melatonin Gummies Sleep Support 90 Strawberry-Flavored Adult Melatonin Gummies 5 mg Sleep Aids for Adults","B079TD92GS","Natrol","Vitamins, Minerals & Supplements/Sleep Supplements","2018-03-08","57474","0.044","10.56","15991","4.59","19","47"
"ZzzQuil PURE Zzzs Melatonin Gummies Sleep Aid Melatonin 2mg with Chamomile & Lavender Melatonin Sleep Gummies Sleep Aids for Adults Wildberry Vanilla Flavored 72 Sleep Gummies","B07N46LTJJ","ZzzQuil","Vitamins, Minerals & Supplements/Sleep Supplements","2019-02-24","48851","0.0374","16.66","23466","4.4","10","15"
"Vitafusion Melatonin Gummy Vitamins 140 Count (Pack of 1)","B00NMFUWIU","Vitafusion","Vitamins, Minerals & Supplements/Sleep Supplements","2014-09-19","44371","0.034","10.69","8231","4.59","313","35"
