Niche Name: flavored pretzels
Niche Details - Products Tab
Last updated on 3/1/2025

Product Name,ASIN,Brand,Category,Launch Date,Niche Click Count (Past 360 days),Click Share (Past 360 days),Average Selling Price (Past 360 days) (USD),Total Ratings,Average Customer Rating,Average BSR,Average # of Sellers and Vendors (Past 360 days)
"Dots Pretzels Original Seasoned Pretzel Twists Healthy Kids Snacks 16oz Grocery Sized Bag","B0824B36NW","Dot's Homestyle Pretzels","Snacks & Sweets/Snack Foods/Pretzels","2020-08-24","118574","0.2668","6.32","3080","4.59","1","100"
"Dots Pretzels Parmesan Garlic Seasoned Pretzel Twists Healthy Kids Snacks 16oz Grocery Sized Bag","B0D6RWGZX2","Dot's Homestyle Pretzels","Snacks & Sweets/Snack Foods/Pretzels","2024-06-11","60535","0.1362","6.34","835","4.7","2","20"
"Dots Pretzels Cinnamon Sugar Seasoned Pretzel Twists Healthy Kids Snacks 16oz Grocery Sized Bag","B0D342Q8MX","Dot's Homestyle Pretzels","Snacks & Sweets/Snack Foods/Pretzels","2024-05-22","45070","0.1014","6.29","961","4.7","11","43"
"Dots Pretzels Honey Mustard Seasoned Pretzel Twists Healthy Kids Snacks 16oz Grocery Sized Bag","B09BM9ZGF3","Dot's Homestyle Pretzels","Snacks & Sweets/Snack Foods/Pretzels","2021-09-03","41544","0.0934","6.09","1096","4.59","7","123"
"Dots Pretzels Southwest Seasoned Pretzel Twists Healthy Kids Snacks 16oz Grocery Sized Bag","B09H7RXVXL","Dot's Homestyle Pretzels","Snacks & Sweets/Snack Foods/Pretzels","2024-02-16","31620","0.0711","6.49","485","4.4","18","22"
"Dots Pretzels Original Seasoned Pretzel Twists Healthy Kids Snacks 1oz Grocery Sized Bag (10 Count)","B0D1HRW29M","Dot's Homestyle Pretzels","Snacks & Sweets/Snack Foods/Pretzels","2024-05-29","39802","0.0895","6.46","3086","4.59","1","38"
"Dots Pretzels Variety Pack Original Honey Mustard and Cinnamon Sugar Pretzel Twists Healthy Kids Snacks 1oz Grocery Sized Bags (20 Count)","B0D1HDRQ6Z","Dot's Homestyle Pretzels","Snacks & Sweets/Snack Foods/Pretzels","2024-04-01","60837","0.1368","13","3086","4.59","1","10"
"Dots Pretzels BBQ Seasoned Pretzel Twists Kids Snacks 16oz Grocery Sized Bag","B0DL2D2R3D","Dot's Homestyle Pretzels","Snacks & Sweets/Snack Foods/Pretzels","2024-10-26","5276","0.0118","6.37","28","4.3","23","3"
"Dots Pretzels Honey Mustard Seasoned Pretzel Twists Healthy Kids Snacks 1oz Grocery Sized Bag (10 Count)","B0D1HW3177","Dot's Homestyle Pretzels","Snacks & Sweets/Snack Foods/Pretzels","2024-04-01","12478","0.028","7.42","1096","4.59","7","33"
"Dots Cinnamon Sugar Pretzel Twists - Variety Pack - Original Honey Mustard Southwest - 4 16oz Bags","B0C7SHQG37","Circle of Drink","Breads & Bakery/Breads/Pretzels","2023-06-12","18647","0.0419","35.78","122","4.5","30","22"
"Generic Dots Homestyle Pretzels Original Seasoned 35oz Seasoned Pretzels Twists Family-Size Pretzel Snacks Delicious Gourmet Pretzel Sticks Ideal for Party Picnic Car Trips Travel","B0CZF8DCLN","Generic","Snacks & Sweets/Snack Foods/Pretzels","2024-03-29","10012","0.0225","38.14","32","4.59","192","2"
