Niche Name: flavored pretzels
Niche Details - Search Terms Tab
Last updated on 3/1/2025

Search Term,Search Volume (Past 360 days),Search Volume Growth (Past 90 days),Search Volume Growth (Past 180 days),Click Share (Past 360 days),Search Conversion Rate (Past 360 days),Top Clicked Product 1 (Title),Top Clicked Product 1 (Asin),Top Clicked Product 2 (Title),Top Clicked Product 2 (Asin),Top Clicked Product 3 (Title),Top Clicked Product 3 (Asin)
"dots pretzels","952200","-0.0311","-0.0058","0.7808","0.1247","Dots Pretzels Parmesan Garlic Seasoned Pretzel Twists Healthy Kids Snacks 16oz Grocery Sized Bag","B0D6RWGZX2","Dots Pretzels Original Seasoned Pretzel Twists Healthy Kids Snacks 16oz Grocery Sized Bag","B0824B36NW","Dots Pretzels Cinnamon Sugar Seasoned Pretzel Twists Healthy Kids Snacks 16oz Grocery Sized Bag","B0D342Q8MX"
"dots pretzels individual bags","149530","-0.294","0.0261","0.0808","0.1243","Dots Pretzels Original Seasoned Pretzel Twists Healthy Kids Snacks 1oz Grocery Sized Bag (10 Count)","B0D1HRW29M","Dots Pretzels Honey Mustard Seasoned Pretzel Twists Healthy Kids Snacks 1oz Grocery Sized Bag (10 Count)","B0D1HW3177","Dots Pretzels Variety Pack Original Honey Mustard and Cinnamon Sugar Pretzel Twists Healthy Kids Snacks 1oz Grocery Sized Bags (20 Count)","B0D1HDRQ6Z"
"flavored pretzels","41936","0.2199","-0.0371","0.008","0.0146","Dots Pretzels Parmesan Garlic Seasoned Pretzel Twists Healthy Kids Snacks 16oz Grocery Sized Bag","B0D6RWGZX2","Dots Pretzels Variety Pack Original Honey Mustard and Cinnamon Sugar Pretzel Twists Healthy Kids Snacks 1oz Grocery Sized Bags (20 Count)","B0D1HDRQ6Z","Pop Daddy Flavored Pretzels Sticks Healthy Gourmet Pretzels 7.5oz Variety Pack 6 Pack Garlic Parm Cinnamon Sugar Peppercorn Ranch Smoked Gouda Dill Pickle Yellow Mustard","B09894SWNV"
"dots homestyle pretzels","39870","-0.1236","-0.1233","0.0308","0.1113","Dots Pretzels Honey Mustard Seasoned Pretzel Twists Healthy Kids Snacks 16oz Grocery Sized Bag","B09BM9ZGF3","Dots Pretzels Parmesan Garlic Seasoned Pretzel Twists Healthy Kids Snacks 16oz Grocery Sized Bag","B0D6RWGZX2","Dots Pretzels Original Seasoned Pretzel Twists Healthy Kids Snacks 16oz Grocery Sized Bag","B0824B36NW"
"seasoned pretzels","22574","0.2505","0.0477","0.0066","0.0313","Snyders of Hanover Seasoned Twisted Pretzel Sticks 12 Oz Bag","B084T38KNC","Dots Pretzels Parmesan Garlic Seasoned Pretzel Twists Healthy Kids Snacks 16oz Grocery Sized Bag","B0D6RWGZX2","Dots Pretzels Original Seasoned Pretzel Twists Healthy Kids Snacks 16oz Grocery Sized Bag","B0824B36NW"
"dots pretzels variety pack","15745","0.6004","0.8126","0.0183","0.0974","Dots Cinnamon Sugar Pretzel Twists - Variety Pack - Original Honey Mustard Southwest - 4 16oz Bags","B0C7SHQG37","Dots Pretzels Parmesan Garlic Seasoned Pretzel Twists Healthy Kids Snacks 16oz Grocery Sized Bag","B0D6RWGZX2","Dots Pretzels Variety Pack Original Honey Mustard and Cinnamon Sugar Pretzel Twists Healthy Kids Snacks 1oz Grocery Sized Bags (20 Count)","B0D1HDRQ6Z"
"dot pretzels","20351","-0.0587","-0.1308","0.0133","0.1077","Dots Pretzels Honey Mustard Seasoned Pretzel Twists Healthy Kids Snacks 16oz Grocery Sized Bag","B09BM9ZGF3","Dots Pretzels Parmesan Garlic Seasoned Pretzel Twists Healthy Kids Snacks 16oz Grocery Sized Bag","B0D6RWGZX2","Dots Pretzels Original Seasoned Pretzel Twists Healthy Kids Snacks 16oz Grocery Sized Bag","B0824B36NW"
"dotz pretzel","12941","0.737","0.0882","0.0142","0.1256","Dots Pretzels Parmesan Garlic Seasoned Pretzel Twists Healthy Kids Snacks 16oz Grocery Sized Bag","B0D6RWGZX2","Dots Pretzels Original Seasoned Pretzel Twists Healthy Kids Snacks 16oz Grocery Sized Bag","B0824B36NW","Dots Pretzels Cinnamon Sugar Seasoned Pretzel Twists Healthy Kids Snacks 16oz Grocery Sized Bag","B0D342Q8MX"
"dots pretzel","10978","0.4001","-0.1177","0.0078","0.0866","Dots Pretzels Honey Mustard Seasoned Pretzel Twists Healthy Kids Snacks 16oz Grocery Sized Bag","B09BM9ZGF3","Dots Pretzels Parmesan Garlic Seasoned Pretzel Twists Healthy Kids Snacks 16oz Grocery Sized Bag","B0D6RWGZX2","Dots Pretzels Original Seasoned Pretzel Twists Healthy Kids Snacks 16oz Grocery Sized Bag","B0824B36NW"
"dots pretzels original","18973","-0.2832","-0.5573","0.0073","0.0872","Dots Pretzels Honey Mustard Seasoned Pretzel Twists Healthy Kids Snacks 16oz Grocery Sized Bag","B09BM9ZGF3","Dots Pretzels Parmesan Garlic Seasoned Pretzel Twists Healthy Kids Snacks 16oz Grocery Sized Bag","B0D6RWGZX2","Dots Pretzels Original Seasoned Pretzel Twists Healthy Kids Snacks 16oz Grocery Sized Bag","B0824B36NW"
