"Keyword Phrase","ABA Total Click Share","ABA Total Conv. Share","Keyword Sales","Search Volume","Search Volume Trend","H10 PPC Sugg. Bid","H10 PPC Sugg. Min Bid","H10 PPC Sugg. Max Bid","Sponsored ASINs","CPR","Amazon Recommended","Sponsored","Organic","Amazon Rec. Rank","Sponsored Rank","Organic Rank"
"lemon balm organic",32.9,55.6,18,600,-24,1.3,0.92,1.72,266,10,1,1,1,27,5,1
"organic lemon balm extract",54.9,24,25,673,46,1.26,0.93,1.69,215,10,1,1,1,39,1,1
"sprouts lemon balm",,,"-",355,30,1.03,0.78,1.47,50,8,0,1,1,"-",2,1
"lemon balm oil",45.5,40.9,22,886,-41,1.43,1.11,1.86,332,12,0,1,1,"-",1,2
"lemon balm oil organic",42.5,44.4,9,444,313,,,,111,8,1,1,1,198,11,2
"lemon balm extract",58,51.8,143,4324,-14,1.38,1.01,1.73,254,34,1,1,1,31,1,2
"lemon balm extract organic",,,"-",275,-15,1.17,0.88,1.5,207,8,0,1,1,"-",5,2
"lemon balm tincture",50.7,46.9,113,2552,-32,1.5,1.05,1.91,298,31,1,1,1,19,18,2
"lemon balm tincture organic",57.4,40.9,22,483,3,1.13,0.87,1.54,171,9,1,1,1,309,1,2
"organic lemon balm",42,28.6,49,3130,-44,1.38,0.9,1.86,337,37,1,1,1,212,3,2
"organic lemon balm tincture",57.1,28.6,7,385,24,,,,190,8,1,1,1,28,1,2
"mary ruth lemon balm",88.1,81.8,11,452,-52,1.67,1.48,2.23,86,8,0,1,1,"-",5,2
"vimergy ashwagandha liquid",,,8,310,-12,1.94,1.63,2.19,77,8,0,0,1,"-","-",2
"lemon balm mary ruth organics",,,"-",311,-23,1.88,1.6,2.52,87,8,1,1,1,317,1,2
"lemon balm syrup",,,"-",294,26,1.16,0.79,1.38,54,8,0,0,1,"-","-",2
"eliré lemon balm",96.4,100,2,385,-32,1.19,1.03,1.36,51,8,0,1,1,"-",8,2
"eliré",86.8,100,2,598,-31,1.32,1.06,1.59,7,9,0,0,1,"-","-",2
"zazzee lemon balm",,,"-",323,21,,,,28,8,0,0,1,"-","-",2
"elire lemon balm",94,68.8,16,1222,-47,1.12,0.8,1.57,61,26,0,1,1,"-",2,2
"elire - organic lemon balm",92,79.3,111,6759,-28,1.01,0.68,1.47,94,32,0,1,1,"-",5,2
"lemon balm dietary supplement",,,"-",336,-13,1.1,0.85,1.29,205,8,1,1,1,135,2,2
"elire - organic lemon balm extract",94.4,76,160,1430,-13,0.98,0.69,1.41,52,26,0,1,1,"-",2,2
"elire lemon balm extract",,,"-",324,-26,1.21,0.95,1.76,28,8,0,1,1,"-",1,2
"lemon balm tea weight loss drops",,,"-",285,-13,,,,10,8,0,1,1,"-",1,2
"elise lemon balm",97.9,50,16,747,68,1.18,1.02,1.35,41,11,0,1,1,"-",1,2
"organic lemon balm extract - digestive relief & anti-bloat support - alcohol-free, vegan, non-gmo, g",,,3,264,-13,,,,24,8,0,0,1,"-","-",2
"eliere lemon balm extract",93.3,50,2,398,"-",,,,24,8,0,1,1,"-",6,2
"elire - organic lemon balm extract for weight loss",,,2,314,"-",,,,0,8,0,0,1,"-","-",2
"lemon balm",39.7,25.9,1611,53720,-46,1.17,0.89,1.56,324,104,1,1,1,23,4,3
"lemon balm drops",58.4,30,10,600,-48,1.55,1.22,1.74,253,10,1,1,1,299,2,3
"lemon balm kids",,,"-",317,18,,,,99,8,1,1,1,319,36,3
"lemon burn",94.6,100,1,433,-3,1.6,1.3,2.02,141,8,0,0,1,"-","-",3
"lemonbalm",,,6,301,-23,1.49,0.96,2.01,172,8,1,1,1,54,1,3
"lemon blam",,,3,290,-24,,,,157,8,0,1,1,"-",45,3
"lemon balm for weight loss",56.7,61.5,13,886,-33,1.11,0.79,1.29,39,12,0,1,1,"-",2,3
"mary ruth lemon balm liquid drops",98.4,93.3,15,498,-61,1.78,1.15,1.88,54,9,0,1,1,"-",6,3
